Date,BNPIESTV,BNPIEMTV,BNPIRPEE,BNPIRPUE,BNPIRPLE,BNPIRPJE,BNPIRPHE,BNPIRPAE,BNPIV1EE,BNPIV1UE,BNPIFU10,BNPIFU30,BNPXSPPE,BNPI1X4E,BNPXCFHE,BNPIVOLA,BNPIFXMG,BPMMMTWU,BNPINMXA,BNPITMXA,BNPXCRME,BNPXCRMU,BNPIPQEE,BNPIPQUE,BNPIPRX3,BNPIDRXA,BPFXSTGU,BNPITIEG,BNPICCUE,BNPICCEE
03/01/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2000,0,0,0,0,0,0,0,0,0,0,0.005094374,0.0083457,0,0,0,0,-0.006306982,0,0,-0.001063211,0,0,0,0,0,0,inf,0,0,0
05/01/2000,0,0,0,0,0,0,0,0,0,0,-0.007193457,-0.010345104,0,0,0,0,-0.001015156,0,0,-0.002499411,0,0,0,0,0,0,0.000998037,0,0,0
06/01/2000,0,0,0,0,0,0,0,0,0,0,0.003458681,0.008013651,0,0,0,0,-0.001001947,0,0,-0.000249242,0,0,0,0,0,0,0.00141078,0,0,0
07/01/2000,0,0,0,0,0,0,0,0,0,0,0.003938761,0.005876458,0,0,0,0,0.002370428,0,0,-0.00297335,0,0,0,0,0,0,0.00021577,0,0,0
10/01/2000,0,0,0,0,0,0,0,0,0,0,-0.002451725,-0.004124093,0,0,0,0,0.001372369,0,0,0.001558527,0,0,0,0,0,0,-6.09E-05,0,0,0
11/01/2000,0,0,0,0,0,0,0,0,0,0,-0.008195248,-0.010697009,0,0,0,0,-0.001814807,0,0,0.005229563,0,0,0,0,0,0,0.000453724,0,0,0
12/01/2000,0,0,0,0,0,0,0,0,0,0,-0.00181669,-0.002092288,0,0,0,0,0.000759153,0,0,0.003727916,0,0,0,0,0,0,0.000112171,0,0,0
13/01/2000,0,0,0,0,0,0,0,0,0,0,0.006621571,0.009786318,0,0,0,0,-0.001361784,0,0,0.000999147,0,0,0,0,0,0,0.000250422,0,0,0
14/01/2000,0,0,0,0,0,0,0,0,0,0,-0.00427564,-0.005884595,0,0,0,0,0.005052893,0,0,0.007517724,0,0,0,0,0,0,0.000289992,0,0,0
17/01/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001240431,0,0,0,0,0,0,0,0,0,0,0,0,0
18/01/2000,0,0,0,0,0,0,0,0,0,0,-0.00511961,-0.005918059,0,0,0,0,0.00040926,0,0,0.006931185,0,0,0,0,0,0,-0.000132391,0,0,0
19/01/2000,0,0,0,0,0,0,0,0,0,0,0.002324159,0.00350226,0,0,0,0,-3.03E-05,0,0,0.001311432,0,0,0,0,0,0,-8.89E-05,0,0,0
20/01/2000,0,0,0,0,0,0,0,0,0,0,-0.002981672,-0.001396289,0,0,0,0,0.001598033,0,0,0.001009084,0,0,0,0,0,0,-0.00027644,0,0,0
21/01/2000,0,0,0,0,0,0,0,0,0,0,-0.00083041,0.003494917,0,0,0,0,0.001618679,0,0,-0.000580346,0,0,0,0,0,0,-9.09E-05,0,0,0
24/01/2000,0,0,0,0,0,0,0,0,0,0,0.006150419,0.00696686,0,0,0,0,0.000605143,0,0,-0.003356015,0,0,0,0,0,0,-9.09E-05,0,0,0
25/01/2000,0,0,0,0,0,0,0,0,0,0,-0.00082602,0.002767464,0,0,0,0,-0.001306157,0,0,0.002310164,0,0,0,0,0,0,8.03E-05,0,0,0
