Date,low_beta_new,momentum_new,quality_new,Equity Momentum,Equity Low Beta,Equity Quality,Commodity Carry,Commodity Curve,Credit Curve,Credit Carry,FX Carry,FX Value,Interest Rate Spread,Interest Rate Curve,Equity Trend,FX Trend,Commodity Trend,Interest Rate Trend,Commodity Volatility Carry,Interest Rate Volatility Carry,Equity Volatility Carry,COT,Merger Arb
22/04/2009,77.95,76.72,78.46,92.59,85.1,108.09,278.0608,205.4589,90.5736,75.4885,272.1639,117.0756,104.1448,120.1611,101.9299,236.0257,225.2254,158.6212,145.3248,109.0304,62.11,111.0878,1003.381976
23/04/2009,77.94,76.55,78.84,92.59,85.08,108.02,278.6513,205.3804,90.5582,75.7476,271.6046,117.1099,104.165,120.1531,101.901,235.3074,226.5824,158.9108,145.4948,109.5174,62.35,111.0908,1003.380484
24/04/2009,77.74,75.95,79.32,92.31,84.94,108.28,277.1032,205.1852,90.5697,75.8321,271.8779,116.7697,104.1288,120.302,101.4893,235.1761,225.2347,159.2035,145.6542,109.4086,62.17,111.1444,1003.168537
27/04/2009,77.9,76.31,79.13,92.46,85.04,108.17,277.5346,204.8973,90.6581,75.773,272.207,116.8849,104.2832,120.5692,101.5157,235.5634,224.9817,159.6533,145.8388,109.5715,62.34,111.1664,1003.033895
28/04/2009,78.12,76.68,79.07,92.65,85.13,107.97,274.7979,204.764,90.6116,75.6108,272.4314,116.8693,104.3552,120.6973,101.7068,235.6817,224.9883,159.8052,146.0611,109.5919,62.52,111.0505,1003.097592
29/04/2009,77.89,76.68,79.29,92.71,85,107.97,275.8232,205.2987,90.7545,75.8144,271.978,117.0037,104.3784,120.816,101.3878,235.0645,224.4262,160.0774,146.5765,109.4125,62.67,111.0605,1003.370475
30/04/2009,77.63,76.2,79.48,92.46,84.98,108.04,276.0526,205.5646,90.9432,75.7388,271.1862,117.23,104.4202,120.9188,101.179,234.3371,223.3126,160.203,147.2964,109.6311,62.73,110.8698,1003.549075
01/05/2009,77.51,75.92,79.33,92.3,84.98,108.02,273.5895,205.5128,90.4656,75.9204,271.3639,117.2558,104.4517,120.9952,101.1293,234.056,220.8357,160.2097,147.011,109.573,62.73,110.8018,1003.523594
04/05/2009,77.13,75.33,79.33,92.1,84.89,107.98,273.367,205.5155,90.4656,75.9204,271.3639,117.2558,104.4517,120.9952,100.7272,234.056,218.788,160.2097,148.4688,109.8494,62.73,110.7976,1003.417171
05/05/2009,77.24,75.11,79.41,91.99,85,107.86,274.9152,205.8051,90.7369,76.2038,273.0247,117.1623,104.3464,120.8728,100.7266,234.5074,220.9285,160.0221,149.9258,110.303,62.92,110.9084,1003.642624
06/05/2009,76.83,74.91,79.54,91.79,84.77,107.82,272.6018,205.2434,91.0255,76.2688,272.7153,117.2738,104.3283,121.1269,100.5227,234.1159,216.995,160.208,149.5268,110.3304,62.98,110.8717,1003.439073
07/05/2009,76.52,74.7,79.71,91.51,84.85,107.81,270.7288,205.228,91.176,76.7801,273.1371,117.0411,104.1959,121.359,100.4905,234.843,215.2653,160.2383,150.0731,109.9034,62.77,110.9426,1003.633206
08/05/2009,75.73,74.35,79.58,91.36,84.59,107.83,267.5397,204.8154,91.1282,76.6035,273.0009,117.1263,104.2339,121.6388,100.2447,234.0354,213.949,160.6031,150.0267,110.2228,62.96,110.9685,1004.456176
11/05/2009,76.01,74.55,79.51,91.44,84.87,107.83,267.1266,204.9383,91.2719,75.9819,272.9944,116.7762,104.2863,121.6318,100.315,234.5858,215.3588,160.609,151.0264,110.3073,63.11,110.9093,1003.15436
12/05/2009,76.55,74.3,79.78,91.27,85.02,107.72,267.1793,204.6828,91.3078,75.6047,272.8429,116.4292,104.2909,121.6313,100.3299,234.058,214.4389,160.5962,152.1125,110.7686,63.65,110.8537,1003.781186
13/05/2009,77.17,74.57,79.66,91.37,85.18,107.69,267.1811,204.7741,91.1457,75.4671,273.378,116.3168,104.4839,121.8084,100.3906,234.4376,215.0315,161.5182,152.4169,110.7172,63.44,110.8933,1003.931153
14/05/2009,77.07,74.65,79.77,91.39,85.01,107.77,268.0345,204.8757,91.302,75.6644,272.921,116.3009,104.499,121.6904,100.3546,234.6537,215.2646,161.7846,152.967,111.2709,63.99,110.8539,1003.850408
15/05/2009,77.03,74.8,79.86,91.46,85.08,107.94,272.3306,205.2171,91.1701,75.7545,273.1262,116.4694,104.4984,121.8143,100.3395,234.352,217.8272,161.9694,153.271,111.3095,64.12,111.1424,1003.591661
18/05/2009,76.98,74.69,79.8,91.3,84.95,107.79,269.9413,205.3889,91.1964,76.2725,274.0643,116.9444,104.5125,121.7747,100.4641,233.5676,216.1468,162.315,154.0209,111.0936,64.38,111.0421,1004.694074
19/05/2009,76.95,74.44,79.71,91.24,85.05,107.81,271.8651,205.9201,91.333,76.4104,274.778,117.1398,104.4919,121.6092,100.6263,233.0699,217.0418,162.23,153.5539,111.264,64.7,111.2211,1004.14048
20/05/2009,77.01,74.17,79.57,91.09,85.12,107.92,270.4616,205.8133,91.5871,76.3996,274.4954,117.1261,104.513,121.6273,100.6267,232.8235,215.6931,162.2731,153.6206,111.5347,64.81,111.2279,1004.680941
21/05/2009,76.96,74.48,79.46,91.26,85.01,107.84,271.8883,206.4491,91.3815,76.2772,274.4637,117.0552,104.5873,121.9832,100.4561,232.2346,219.5356,162.3106,153.4702,110.6626,64.29,111.2967,1004.405415
